Target Distance:50, Step Size: 2
0: (x, y) = (-0.781462, 1.84101)
0: (x, y) = (-1.6582, 3.6386)
0: (x, y) = (0.0378916, 2.57876)
0: (x, y) = (1.56998, 3.86433)
0: (x, y) = (2.18801, 1.96222)
0: (x, y) = (2.50088, -0.0131552)
0: (x, y) = (1.88285, -1.91527)
0: (x, y) = (3.88011, -2.01994)
0: (x, y) = (3.63637, -4.00503)
0: (x, y) = (4.57531, -5.77093)
0: (x, y) = (2.57653, -5.84073)
0: (x, y) = (0.63594, -6.32457)
0: (x, y) = (0.531268, -8.32183)
0: (x, y) = (-1.40058, -7.80419)
0: (x, y) = (0.555711, -7.38837)
0: (x, y) = (1.10699, -5.46584)
0: (x, y) = (0.0177081, -3.7885)
0: (x, y) = (-0.466136, -5.72909)
0: (x, y) = (0.872126, -4.24281)
0: (x, y) = (1.6856, -2.41571)
0: (x, y) = (2.06722, -0.45246)
0: (x, y) = (0.389876, -1.54174)
0: (x, y) = (0.702745, 0.433639)
0: (x, y) = (1.93407, 2.00966)
0: (x, y) = (3.42036, 3.34792)
0: (x, y) = (5.11645, 4.40776)
0: (x, y) = (6.94354, 3.59429)
0: (x, y) = (7.18728, 5.57938)
0: (x, y) = (8.67357, 6.91764)
0: (x, y) = (6.75105, 6.36637)
0: (x, y) = (8.74009, 6.57542)
0: (x, y) = (10.6719, 6.05778)
0: (x, y) = (11.4534, 4.21677)
0: (x, y) = (12.0382, 2.30416)
0: (x, y) = (11.6909, 0.334549)
0: (x, y) = (13.0802, 1.77323)
0: (x, y) = (12.9059, 3.76562)
0: (x, y) = (12.6621, 5.75071)
0: (x, y) = (10.8495, 6.59595)
0: (x, y) = (12.7516, 7.21398)
0: (x, y) = (11.493, 8.76827)
0: (x, y) = (10.5234, 7.01903)
0: (x, y) = (10.3838, 9.01416)
0: (x, y) = (12.379, 8.87465)
0: (x, y) = (10.8469, 10.1602)
0: (x, y) = (10.0654, 12.0012)
0: (x, y) = (8.94704, 13.6593)
0: (x, y) = (10.5443, 12.4557)
0: (x, y) = (8.81226, 13.4557)
0: (x, y) = (7.6651, 11.8174)
0: (x, y) = (7.80462, 9.82225)
0: (x, y) = (8.86446, 8.12615)
0: (x, y) = (7.33237, 9.41173)
0: (x, y) = (8.77105, 10.801)
0: (x, y) = (9.88943, 12.4591)
0: (x, y) = (8.63079, 10.9048)
0: (x, y) = (6.84878, 11.8128)
0: (x, y) = (8.38087, 10.5272)
0: (x, y) = (10.1301, 9.55761)
0: (x, y) = (8.81799, 8.04819)
0: (x, y) = (10.2073, 9.48687)
0: (x, y) = (10.2073, 7.48687)
0: (x, y) = (12.1636, 7.07105)
0: (x, y) = (11.4796, 5.19166)
0: (x, y) = (12.8938, 3.77745)
0: (x, y) = (10.9619, 4.29509)
0: (x, y) = (11.646, 6.17447)
0: (x, y) = (9.84837, 7.05122)
0: (x, y) = (9.23034, 8.95333)
0: (x, y) = (10.5425, 7.44391)
0: (x, y) = (11.9567, 8.85812)
0: (x, y) = (13.3709, 10.2723)
0: (x, y) = (14.2789, 12.0544)
0: (x, y) = (13.8972, 14.0176)
0: (x, y) = (12.2392, 12.8992)
0: (x, y) = (14.2145, 12.5863)
0: (x, y) = (16.0817, 13.3031)
0: (x, y) = (14.7434, 14.7894)
0: (x, y) = (16.0556, 16.2988)
0: (x, y) = (18.0543, 16.229)
0: (x, y) = (17.5705, 14.2884)
0: (x, y) = (17.2922, 12.3079)
0: (x, y) = (16.7409, 10.3853)
0: (x, y) = (15.8329, 8.60333)
0: (x, y) = (15.4856, 6.63372)
0: (x, y) = (17.4343, 6.18381)
0: (x, y) = (18.9438, 4.8717)
0: (x, y) = (16.9587, 5.11543)
0: (x, y) = (15.7274, 6.69146)
0: (x, y) = (17.7261, 6.76126)
0: (x, y) = (18.0045, 8.74179)
0: (x, y) = (19.6626, 9.86018)
0: (x, y) = (21.6379, 9.54731)
0: (x, y) = (20.2739, 8.0846)
0: (x, y) = (19.1847, 9.76194)
0: (x, y) = (20.8808, 8.7021)
0: (x, y) = (20.6024, 10.6826)
0: (x, y) = (20.9153, 8.70726)
0: (x, y) = (20.6715, 6.72217)
0: (x, y) = (19.1621, 8.03429)
0: (x, y) = (17.5441, 9.20986)
0: (x, y) = (19.3985, 8.46065)
0: (x, y) = (17.4666, 7.94301)
0: (x, y) = (17.5015, 5.94331)
0: (x, y) = (16.9839, 7.87516)
0: (x, y) = (18.131, 9.51347)
0: (x, y) = (19.7891, 8.39508)
0: (x, y) = (20.4402, 6.50405)
0: (x, y) = (18.4478, 6.67836)
0: (x, y) = (17.8298, 8.58047)
0: (x, y) = (19.5957, 9.51941)
0: (x, y) = (18.5656, 11.2337)
0: (x, y) = (16.7113, 11.983)
0: (x, y) = (18.5383, 12.7964)
0: (x, y) = (19.2551, 14.6636)
0: (x, y) = (19.4294, 12.6712)
0: (x, y) = (20.715, 11.1391)
0: (x, y) = (22.4642, 10.1695)
0: (x, y) = (22.4293, 8.1698)
0: (x, y) = (20.4597, 7.82251)
0: (x, y) = (22.2723, 6.97727)
0: (x, y) = (23.4759, 8.57454)
0: (x, y) = (22.1638, 7.06512)
0: (x, y) = (24.1271, 7.44674)
0: (x, y) = (26.1222, 7.58625)
0: (x, y) = (27.2978, 5.96822)
0: (x, y) = (28.0145, 4.10106)
0: (x, y) = (27.201, 5.92815)
0: (x, y) = (25.8117, 4.48947)
0: (x, y) = (24.4477, 3.02676)
0: (x, y) = (22.8934, 4.2854)
0: (x, y) = (22.2094, 2.40602)
0: (x, y) = (20.8973, 3.91544)
0: (x, y) = (21.5153, 2.01332)
0: (x, y) = (19.5156, 2.04823)
0: (x, y) = (20.1336, 3.95034)
0: (x, y) = (18.8481, 2.41825)
0: (x, y) = (20.0517, 4.01552)
0: (x, y) = (19.3677, 5.89491)
0: (x, y) = (21.1497, 6.80289)
0: (x, y) = (19.9741, 5.18485)
0: (x, y) = (20.424, 3.23611)
0: (x, y) = (21.6276, 1.63884)
0: (x, y) = (19.6425, 1.88258)
0: (x, y) = (18.0882, 0.623941)
0: (x, y) = (17.0582, 2.33828)
